,Player,Current3FGP,PredictedChange,95PLowerBound,95PUpperBound,MeanPredicted3FGP,Actual3FGP,Actual-MeanPrediction
58,Dirk Nowitzki,0.398,0.0209,0.377,0.461,0.419,0.38,-0.039
139,Lance Stephenson,0.352,0.066455,0.286,0.551,0.418,0.171,-0.247
130,Kevin Love,0.376,0.040918,0.335,0.499,0.417,0.367,-0.05
232,Vince Carter,0.394,0.023455,0.37,0.464,0.417,0.297,-0.12
154,Matt Bonner,0.429,-0.012631,0.391,0.442,0.416,0.365,-0.051
233,Wayne Ellington,0.424,-0.0077441,0.401,0.432,0.416,0.37,-0.046
14,Anthony Morrow,0.451,-0.036866,0.34,0.488,0.414,0.434,0.02
217,Terrence Ross,0.395,0.018884,0.376,0.452,0.414,0.372,-0.042
161,Mike Dunleavy,0.38,0.031563,0.348,0.475,0.412,0.407,-0.005
111,John Salmons,0.387,0.02392,0.363,0.459,0.411,0.308,-0.103
27,Carmelo Anthony,0.402,0.0088022,0.393,0.428,0.41,0.341,-0.069
63,Draymond Green,0.333,0.076238,0.257,0.562,0.41,0.337,-0.073
192,Rasual Butler,0.419,-0.0089855,0.392,0.428,0.41,0.387,-0.023
21,Boris Diaw,0.402,0.0062917,0.396,0.421,0.408,0.32,-0.088
193,Ray Allen,0.375,0.030002,0.345,0.465,0.405,DNA,NA
131,Kevin Martin,0.387,0.017791,0.369,0.44,0.404,0.393,-0.011
79,Goran Dragic,0.408,-0.0059868,0.39,0.414,0.402,0.347,-0.055
108,Jodie Meeks,0.401,0.00021472,0.401,0.402,0.402,0.349,-0.053
28,Caron Butler,0.394,0.0065693,0.387,0.414,0.4,0.379,-0.021
39,C.J. McCollum,0.375,0.024989,0.35,0.45,0.4,0.396,-0.004
208,Shawne Williams,0.326,0.074036,0.252,0.548,0.4,0.36,-0.04
113,Jonas Jerebko,0.419,-0.020055,0.359,0.439,0.399,0.386,-0.013
40,C.J. Miles,0.393,0.0030855,0.39,0.402,0.396,0.345,-0.051
46,Danny Green,0.415,-0.01878,0.359,0.434,0.396,0.418,0.022
94,Jannero Pargo,0.4,-0.0049286,0.385,0.405,0.395,0.409,0.014
121,J.R. Smith,0.394,-0.00065976,0.392,0.395,0.394,0.383,-0.011
98,Jason Terry,0.379,0.014138,0.365,0.421,0.393,0.39,-0.003
155,Matthew Dellavedova,0.368,0.024989,0.343,0.443,0.393,0.407,0.014
197,Reggie Jackson,0.339,0.054183,0.285,0.502,0.393,0.299,-0.094
44,Damian Lillard,0.394,-0.0039139,0.382,0.398,0.39,0.343,-0.047
112,John Wall,0.351,0.038354,0.313,0.466,0.39,0.3,-0.09
212,Stephen Curry,0.424,-0.033495,0.324,0.457,0.39,0.443,0.053
52,Derek Fisher,0.384,0.005163,0.379,0.399,0.389,DNA,NA
194,Ray McCallum,0.373,0.016145,0.357,0.421,0.389,0.306,-0.083
200,Robbie Hummel,0.36,0.026569,0.334,0.44,0.387,0.314,-0.073
51,DeMarre Carroll,0.362,0.021838,0.34,0.428,0.384,0.395,0.011
178,Patrick Mills,0.425,-0.04143,0.301,0.466,0.384,0.341,-0.043
62,Doron Lamb,0.4,-0.016254,0.351,0.416,0.383,DNA,NA
57,Dion Waiters,0.368,0.013884,0.354,0.41,0.382,0.297,-0.085
152,Marvin Williams,0.359,0.023225,0.336,0.429,0.382,0.358,-0.024
2,Aaron Brooks,0.387,-0.0077541,0.364,0.395,0.38,0.387,0.007
29,Cartier Martin,0.391,-0.010251,0.36,0.401,0.38,0.182,-0.198
67,Eric Gordon,0.391,-0.010833,0.359,0.402,0.38,0.448,0.068
119,Josh McRoberts,0.361,0.018261,0.343,0.416,0.38,0.421,0.041
136,Kyle Lowry,0.38,-0.00046053,0.379,0.38,0.38,0.338,-0.042
220,Tim Hardaway,0.363,0.016145,0.347,0.411,0.379,0.342,-0.037
134,Klay Thompson,0.417,-0.038084,0.302,0.455,0.378,0.439,0.061
182,Paul Pierce,0.373,0.005364,0.368,0.389,0.378,0.389,0.011
107,J.J. Redick,0.395,-0.019354,0.337,0.414,0.376,0.437,0.061
22,Bradley Beal,0.402,-0.028116,0.318,0.43,0.374,0.409,0.035
78,Giannis Antetokounmpo,0.347,0.026569,0.32,0.427,0.374,0.159,-0.215
81,Greivis Vasquez,0.377,-0.002894,0.368,0.38,0.374,0.379,0.005
88,Jamal Crawford,0.361,0.012502,0.348,0.399,0.374,0.327,-0.047
164,Mirza Teletovic,0.39,-0.015255,0.344,0.405,0.374,0.321,-0.053
140,LeBron James,0.379,-0.0058741,0.361,0.385,0.373,0.354,-0.019
142,Luke Babbitt,0.379,-0.0060913,0.361,0.385,0.373,0.513,0.14
59,D.J. Augustin,0.401,-0.029002,0.314,0.43,0.372,0.337,-0.035
204,Ryan Anderson,0.409,-0.036485,0.299,0.446,0.372,0.34,-0.032
205,Ryan Kelly,0.338,0.034672,0.303,0.442,0.372,0.336,-0.036
129,Kevin Durant,0.391,-0.020056,0.331,0.411,0.371,0.403,0.032
6,Al Harrington,0.34,0.030052,0.31,0.43,0.37,DNA,NA
76,Gerald Henderson,0.348,0.021815,0.326,0.414,0.37,0.331,-0.039
214,Steve Novak,0.426,-0.056456,0.257,0.482,0.37,0.396,0.026
206,Serge Ibaka,0.383,-0.01445,0.34,0.397,0.369,0.376,0.007
149,Mario Chalmers,0.385,-0.017679,0.332,0.403,0.368,0.294,-0.074
153,Matt Barnes,0.343,0.024196,0.319,0.416,0.368,0.362,-0.006
171,Nick Young,0.386,-0.018689,0.33,0.405,0.368,0.369,0.001
181,Paul Millsap,0.358,0.010027,0.348,0.388,0.368,0.356,-0.012
213,Steve Blake,0.376,-0.0079738,0.352,0.384,0.368,0.352,-0.016
137,Kyle Singler,0.382,-0.015762,0.335,0.398,0.367,0.398,0.031
166,Mo Williams,0.369,-0.0030659,0.36,0.372,0.366,0.342,-0.024
235,Wesley Matthews,0.393,-0.027354,0.311,0.421,0.366,0.389,0.023
102,Jeremy Lamb,0.356,0.0082378,0.348,0.381,0.364,0.342,-0.022
